id,ids_prism,ids_bbref,ids_fangraphs,ids_mlbam,ids_nfbc,ids_sfbb,ids_yahoo,names_last,names_first,names_middle
67hhqxr3k4,67hhqxr3k4,sauerma01,22284,669422,12007,,11355,Sauer,Matt,David
69d5snp8t8,69d5snp8t8,acunajo01,26548,682668,11614,acunalu01,11878,Acuña,Jose,Jose
69qhmcpt5w,69qhmcpt5w,bachala01,19222,669199,12140,,62399,Bachar,Lake,David
69qkmlhtx4,69qkmlhtx4,haysau01,19363,669720,9763,haysau01,10826,Hays,Austin,Charles Bryan
69x6nmx89w,69x6nmx89w,menacr01,27974,691441,11978,menacr01,60158,Mena,Cristian,Jose
69yp1jj4mr,69yp1jj4mr,manaese01,15873,640455,8666,manaese01,9582,Manaea,Sean,Anthony
6bbnfl2s4r,6bbnfl2s4r,,sa3014550,694397,12285,,60268,Raya,Marco,Antonio
6c51tgheyw,6c51tgheyw,mcdontr01,26448,686790,11986,,60389,McDonald,Trevor,Dale
6cdn5ye0lr,6cdn5ye0lr,gordoco01,31312,676467,12069,gordoco01,60195,Gordon,Colton,Zimring
6cqr2cvj14,6cqr2cvj14,delcaad01,29554,680728,12144,delcaad01,12359,Del Castillo,Adrian,Jose
6ctv9rwc0h,6ctv9rwc0h,cortene01,17874,641482,9934,cortene01,10970,Cortés,Néstor,
6djdwrtbn4,6djdwrtbn4,ohopplo01,24729,681351,11075,ohopplo01,12011,O'Hoppe,Logan,
6e8p1771s4,6e8p1771s4,munozro01,25311,682610,11646,munozro01,12745,Muñoz,Roddery,
6g1b7rkfzm,6g1b7rkfzm,walkery01,20423,676254,11794,walkery01,61627,Walker,Ryan,Patrick
6lr1094zzm,6lr1094zzm,blalobr01,26419,687134,11966,blalobr01,63311,Blalock,Bradley,Christopher
6n7j3ftbm4,6n7j3ftbm4,millebr04,29837,682243,11636,millebr04,12540,Miller,Bryce,Austen
6p7ty6edt4,6p7ty6edt4,beckjo01,31431,687597,12084,beckjo01,60147,Beck,Jordan,Alexander
6p9y4xwl4h,6p9y4xwl4h,whiteow01,22273,669391,11601,whiteow01,11403,White,Owen,Timothy Owen
6qcwhks7wm,6qcwhks7wm,thompma02,21850,666168,10284,thompma02,12105,Thompson,Mason,Lane
6rwbmer6nh,6rwbmer6nh,dollach01,33482,801403,12209,dollach01,62975,Dollander,Chase,Chase
6sbxykbmbm,6sbxykbmbm,flaheja01,17479,656427,9750,flaheja01,10592,Flaherty,Jack,Rafe
6t00rslfx8,6t00rslfx8,stantmi03,4949,519317,7789,stantmi03,8634,Stanton,Giancarlo,Cruz-Michael
6twhmnx0cr,6twhmnx0cr,albieoz01,16556,645277,9721,albieoz01,10237,Albies,Ozzie,Jurdy Jiandro
6vzk63z4p8,6vzk63z4p8,wadela01,18126,664774,10271,wadela01,11174,Wade,LaMonte,Aaron
6wyyxv03zh,6wyyxv03zh,burromi01,24728,681347,11619,burromi01,12519,Burrows,Mike,Thomas
6xh12c2p28,6xh12c2p28,walkejo02,27475,691023,10885,walkejo02,12024,Walker,Jordan,Alexander
6xy5vk3tkr,6xy5vk3tkr,gorskma01,25855,685301,12357,,60342,Gorski,Matt,
6ycdm0pkb4,6ycdm0pkb4,beeksja02,17192,656222,9833,beeksja02,10850,Beeks,Jalen,Christopher
6yhbnzmgvm,6yhbnzmgvm,ferrejo01,24017,678606,11662,ferrejo01,12723,Ferrer,Jose,Alexander
6yjpk4e3y4,6yjpk4e3y4,pagesan01,24816,681624,11682,pagesan01,12148,Pages,Andy,
6ywzl0v83w,6ywzl0v83w,diazyi01,29271,700270,12125,diazyi01,60566,Díaz,Yilber,Daniel
71dj1klrz8,71dj1klrz8,bendean01,19742,669622,11205,bendean01,12194,Bender,Anthony,Wayne
71lbrypy6w,71lbrypy6w,hatchto01,19264,641672,10782,hatchto01,10859,Hatch,Thomas,
728epl7ej0,728epl7ej0,jonesja09,27863,683003,11893,jonesja09,60907,Jones,Jared,Keith
739sj0j87r,739sj0j87r,leech02,29574,695445,12293,,61588,Lee,Chase,Alexander
74nczpdgp4,74nczpdgp4,rodribr01,29107,699134,12405,,64992,Rodriguez,Bradgley,Eduardo
74tchvn81h,74tchvn81h,davishe01,29617,680779,11742,davishe01,12514,Davis,Henry,
74ybqrzg38,74ybqrzg38,spierca01,27685,686730,11854,spierca01,63341,Spiers,Carson,Carson
7559yxw54d,7559yxw54d,roberni01,26226,687798,11805,,61267,Robertson,Nick,Parker
75857lqzmm,75857lqzmm,dominja01,28080,691176,11749,dominja01,11805,Domínguez,Jasson,
75qywncw80,75qywncw80,gonzawi02,26641,682790,11953,gonzawi02,12377,González,Wikelman,David
75s2ydq04w,75s2ydq04w,hurtebr01,30133,676428,12141,hurtebr01,60178,Hurter,Brant,Harris
770e6htjg0,770e6htjg0,holmegr01,16944,656550,10468,holmegr01,10549,Holmes,Grant,Grant
77bz73hkz4,77bz73hkz4,leeko01,25543,686676,11313,leeko01,11767,Lee,Korey,Bryan
77em3twsg8,77em3twsg8,bergery01,29863,686701,12288,,60356,Bergert,Ryan,Michael
77m8f7gc0r,77m8f7gc0r,gordota01,27669,685299,12123,gordota01,63288,Gordon,Tanner,Robert
78429vr5bd,78429vr5bd,wilsoju10,4301,458677,8007,wilsoju10,9272,Wilson,Justin,James
78c8sb188m,78c8sb188m,hernaen02,10472,571771,8835,hernaen02,9754,Hernández,Enrique,J.
78ktpnhtzr,78ktpnhtzr,gillu01,21052,661563,10760,gillu01,11689,Gil,Luis,Angel
78pe00d5m8,78pe00d5m8,poteeco01,18769,547001,11212,poteeco01,12196,Poteet,Cody,Austin
7b6x2z81x4,7b6x2z81x4,palenda01,27914,694037,11821,,60121,Palencia,Daniel,Jesus
7bc4mc5ztw,7bc4mc5ztw,duranjh01,21029,661395,10239,duranjh01,11495,Durán,Jhoan,Manuel
7c956dxbm8,7c956dxbm8,kikucyu01,20633,579328,10438,kikucyu01,11263,Kikuchi,Yusei,
7d881jmkq4,7d881jmkq4,vasilmi01,30105,678024,11904,vasilmi01,60281,Vasil,Mike,
7dqy9krkrm,7dqy9krkrm,cabrege01,17490,650893,10447,cabrege01,11237,Cabrera,Génesis,
7dtrmw31j0,7dtrmw31j0,lockrbr01,21496,663604,12173,,12499,Lockridge,Brandon,Marcus
7fnbt206l4,7fnbt206l4,mearsni01,25376,683232,10910,mearsni01,11979,Mears,Nick,Tanner
7hgjdj33rd,7hgjdj33rd,vanwelo01,31884,701121,12376,,62570,VanWey,Logan,Christopher
7htzkqq0j8,7htzkqq0j8,camarja01,21730,665856,11989,,62189,Camargo,Jair,David
7jl0qezb3m,7jl0qezb3m,,sa3014925,687003,12408,,63947,Van Belle,Brian,Michael
7jw0hsywww,7jw0hsywww,mcmahry01,15112,641857,9726,mcmahry01,10175,McMahon,Ryan,Patrick
7k7pqy8gj8,7k7pqy8gj8,wroblju01,31204,680736,12124,wroblju01,63581,Wrobleski,Justin,Michael
7ls7tzg1tw,7ls7tzg1tw,francjp01,21212,641585,11716,francjp01,12725,France,J. P.,Patrick
7m4yz1k7jr,7m4yz1k7jr,festama01,19330,670036,10060,festama01,11068,Festa,Matt,Joseph
7m62el8qbh,7m62el8qbh,montech01,30206,801216,12395,,60562,Montes De Oca,Christian,
7mgfm8sqcm,7mgfm8sqcm,rangeal01,19524,660604,11318,,12286,Rangel,Alan,Eduardo
7nhpde80er,7nhpde80er,garciyi01,12095,554340,8895,garciyi01,9815,García,Yimi,
7nrlfr2db0,7nrlfr2db0,phillco01,27649,683175,11855,phillco01,12173,Phillips,Connor,Allan
7pgf3v5fm0,7pgf3v5fm0,canzodo01,26438,686527,11778,canzodo01,60061,Canzone,Dominic,Gene
7pzmxnhs8d,7pzmxnhs8d,scottta01,17586,656945,9772,scottta01,10432,Scott,Tanner,Alexander
7qd34sz5v0,7qd34sz5v0,turnetr01,16252,607208,9132,turnetr01,10056,Turner,Trea,Vance
7qhz26hxf0,7qhz26hxf0,frelisa01,29622,686217,11581,frelisa01,12476,Frelick,Sal,Michael
7r7zdtx068,7r7zdtx068,monasan01,19455,655316,11797,monasan01,61600,Monasterio,Andruw,José
7r9sm6ge3h,7r9sm6ge3h,misioja01,31623,694819,11894,misioja01,60254,Misiorowski,Jacob,Walter
7rsl8e89sr,7rsl8e89sr,amadoad01,27962,691182,11965,amadoad01,12411,Amador,Adael,Alexander
7s661hv5l4,7s661hv5l4,marteke01,13613,606466,9112,marteke01,10036,Marte,Ketel,Ricardo
7v4vcstgt4,7v4vcstgt4,farmeky01,14813,571657,9537,farmeky01,10775,Farmer,Kyle,Kyle
7vykclmzer,7vykclmzer,walkech02,13419,572233,8924,walkech02,9846,Walker,Christian,Dickson
7vzzg2sq50,7vzzg2sq50,matthbr01,33280,694728,12355,,62798,Matthews,Brice,Andre
7w3pbjwjbh,7w3pbjwjbh,castabl01,26117,680604,12243,,63936,Castano,Blas,
7x3dgmgbcm,7x3dgmgbcm,chandbu01,sa3017428,696149,12035,chandbu01,12516,Chandler,Bubba,Ruben
7y9ytlkvwr,7y9ytlkvwr,rogerty01,15541,643511,10725,rogerty01,11644,Rogers,Tyler,Scott
7z7kngqj38,7z7kngqj38,gracego01,29519,700669,11598,gracego01,60394,Graceffo,Gordon,Joseph
8045dvgwkd,8045dvgwkd,,sa3044256,702073,,,,Ure,Ryan,
80m8ct4tf0,80m8ct4tf0,marseja01,sa3019868,805300,11939,marseja01,62119,Marsee,Jakob,Joseph
80vlvlt3em,80vlvlt3em,myersda01,22054,667472,11820,myersda01,62217,Myers,Dane,Michael
80vy5rgwt0,80vy5rgwt0,ortizjo06,25493,687401,11625,ortizjo06,12374,Ortiz,Joey,Anthony
81d8nk4p1m,81d8nk4p1m,lauerer01,19316,641778,10024,lauerer01,10576,Lauer,Eric,Lance
851rmvb0d4,851rmvb0d4,snideco01,23307,676092,11389,,12334,Snider,Collin,Kenneth
856se54j3h,856se54j3h,langesh01,25816,669127,10845,langesh01,11728,Langeliers,Shea,Ryan
85kmplly08,85kmplly08,elkoti01,31522,671284,12356,,62464,Elko,Tim,John
86qb7x17ch,86qb7x17ch,milneho01,13346,571948,9589,milneho01,10736,Milner,Hoby,Trey
86sb9xzhgd,86sb9xzhgd,silsech01,30074,681217,11468,silsech01,12615,Silseth,Chase,Robert
872pwbd3vm,872pwbd3vm,joeco01,16572,656582,10517,joeco01,11256,Joe,Connor,Kok-Wy
89112lvv68,89112lvv68,littlbr02,21574,663893,11552,littlbr02,10861,Little,Brendon,David
89c0f8nxgw,89c0f8nxgw,imanash01,33829,684007,11884,imanash01,63640,Imanaga,Shota,
89zyh56yf0,89zyh56yf0,gassero01,29812,688107,11745,gassero01,12523,Gasser,Robert,Riordan
8bw2t9p8tw,8bw2t9p8tw,chivian01,26790,683409,11974,,63478,Chivilli,Angel,
8cendczsm8,8cendczsm8,suzukse01,30116,673548,11305,suzukse01,12588,Suzuki,Seiya,
8dl3r0kw60,8dl3r0kw60,mcneije01,15362,643446,10061,mcneije01,11118,McNeil,Jeff,Todd
8e48t6m0pw,8e48t6m0pw,bertijo01,12037,542932,10113,bertijo01,11169,Berti,Jon,David
8edcvdezjh,8edcvdezjh,kellymi03,12791,547184,9974,kellymi03,12636,Kelly,Michael,Joseph
8edzj03p1w,8edzj03p1w,hillde01,16947,656537,10714,hillde01,9866,Hill,Derek,Jerome
8f84cth7mh,8f84cth7mh,burgeja01,22275,669394,10224,burgeja01,10877,Burger,Jake,Michael
8ff5zpg1bh,8ff5zpg1bh,ederja01,27590,671109,11238,ederja01,63309,Eder,Jake,Andrew
8hlsefv9rw,8hlsefv9rw,encarje01,21871,666464,10839,encarje01,11783,Encarnacion,Jerar,Luis
8hrwgf3jvw,8hrwgf3jvw,hiralya01,25215,682274,12399,,64789,Hiraldo,Yaramil,Junior
8hx0ykpf0w,8hx0ykpf0w,fauchca01,20116,676534,11395,fauchca01,12311,Faucher,Calvin,Louis
8j6601d64h,8j6601d64h,,sa3014834,689288,12265,,62061,Koperniak,Matt,Hayden
8kgzmz3kvh,8kgzmz3kvh,winnke01,23499,676775,11680,winnke01,12737,Winn,Keaton,Eugene
8kslrzszzd,8kslrzszzd,ricebe01,29576,700250,11911,ricebe01,62137,Rice,Ben,Kimball
8l96cl5rzw,8l96cl5rzw,andersh01,19453,641312,10333,andersh01,11098,Anderson,Shaun,
8m210nymch,8m210nymch,jamesdr01,26260,686753,11403,jamesdr01,11724,Jameson,Drey,Matthew
8m527e9esd,8m527e9esd,santaan02,14551,623993,9599,santaan02,10666,Santander,Anthony,Roger
8mcg10mesd,8mcg10mesd,martian02,26540,682657,11675,martian02,12400,Martínez,Angel,
8mee3c7ph8,8mee3c7ph8,schmica01,27577,669477,11743,schmica01,12544,Schmitt,Casey,Shawn
8mk1wg68d8,8mk1wg68d8,sanchcr01,20778,650911,10770,sanchcr01,11706,Sánchez,Cristopher,Alexis
8mmc733070,8mmc733070,gormano01,22263,669357,10303,gormano01,11391,Gorman,Nolan,Brian
8px8s67450,8px8s67450,parisky01,26420,677347,11090,parisky01,11776,Paris,Kyren,Terrell
8r2k20mer4,8r2k20mer4,curvelu01,24710,681168,12252,,62601,Curvelo,Luis,Jefferso
8scvw5b4y8,8scvw5b4y8,feltnry01,21446,663372,11282,feltnry01,12265,Feltner,Ryan,Donald
8vzpenp9j8,8vzpenp9j8,arrigsp01,29921,681293,12020,arrigsp01,60188,Arrighetti,Spencer,Zane
8xk82h0qed,8xk82h0qed,stanery01,15947,592773,9519,stanery01,10606,Stanek,Ryne,Thomas
8xrld5bmcd,8xrld5bmcd,danaca01,31508,702674,12171,danaca01,60217,Dana,Caden,Lawrence
8yhbqjl0t4,8yhbqjl0t4,garciro04,23363,676395,11823,garciro01,60615,Garcia,Robert,Christopher
8yzs5nyhk0,8yzs5nyhk0,rockjo01,30016,697812,12256,,12408,Rock,Joe,Richard
