id,ids_prism,ids_espn,ids_fantasypros,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay
3tmqyqlt0w,3tmqyqlt0w,4594749,23167,00-0040939,22963,TrigMi00,13401,6bff41b0-4191-11f1-9de2-13456d982f5a,Q113876337,42887,M.Trigg,Michael,Michael Trigg,"Trigg, Michael","Trigg, M",Michael Trigg,,Michael Trigg,Trigg,Michael,,2002-06-27,2002,06,27
3v02hez7pr,3v02hez7pr,4371733,23310,00-0036919,18772,GainKe00,7567,e2a5882a-dcc1-4800-889f-3b957b21834f,Q88089345,33538,K.Gainwell,Kenneth,Kenny Gainwell,"Gainwell, Kenny","Gainwell, K",Kenneth Gainwell,,Kenny Gainwell,Gainwell,Kenny,,1999-03-14,1999,03,14
45tellv7x8,45tellv7x8,4869132,28141,00-0041070,23111,VirgRe00,13297,5c342ca7-20ec-4278-8d30-f8134d5a0fd3,Q136813968,42791,R.Virgil,Reggie,Reggie Virgil,"Virgil, Reggie","Virgil, R",Reggie Virgil,,Reggie Virgil,Virgil,Reggie,,2004-05-14,2004,05,14
4712ckx40r,4712ckx40r,4688380,24755,00-0040676,20310,WardCa00,12522,3c76cab3-3df2-43dd-acaa-57e055bd32d0,Q110263644,41786,C.Ward,Cameron,Cam Ward,"Ward, Cam","Ward, C",Cameron Ward,,Cam Ward,Ward,Cam,,2002-05-25,2002,05,25
4cetc28rd0,4cetc28rd0,4429501,26191,00-0039875,21151,DaviRa04,11575,a856dd59-ed95-471a-bfb9-fbd0566bd1a9,Q123050591,40980,R.Davis,Re'Mahn,Ray Davis,"Davis, Ray","Davis, R",Re'Mahn Davis,,Ray Davis,Davis,Ray,,1999-11-20,1999,11,20
4dlr3qt49h,4dlr3qt49h,4569587,22985,00-0038117,19460,RobiWa01,8126,582dfe0e-98f3-48a5-8a2d-a52baa926b05,Q108855775,33998,W.Robinson,Wan'Dale,Wan'Dale Robinson,"Robinson, Wan'Dale","Robinson, W",Wan'Dale Robinson,,Wan'Dale Robinson,Robinson,Wan'Dale,,2001-01-05,2001,01,05
4ehg89cwmd,4ehg89cwmd,5150247,26012,00-0040894,23172,BensMa00,13329,27e1ef17-ce10-4e14-99e6-328672f57dcd,Q118570936,42817,M.Benson,Malik,Malik Benson,"Benson, Malik","Benson, M",Malik Benson,,Malik Benson,Benson,Malik,,2002-10-17,2002,10,17
4fsbd09q6r,4fsbd09q6r,4239934,19358,00-0036265,17996,DillAJ00,6828,e10bfeb8-ea01-47bc-bfa8-45f6dcbf71b3,Q54861465,32732,A.Dillon,Algiers,AJ Dillon,"Dillon, AJ","Dillon, A",Algiers Dillon,,AJ Dillon,Dillon,AJ,,1998-05-02,1998,05,02
4grnf93vx0,4grnf93vx0,4690923,26310,00-0039912,21164,SinnBe00,11596,b5c717af-9116-483c-9ab3-c9db0a988ab8,Q120765641,40931,B.Sinnott,Ben,Ben Sinnott,"Sinnott, Ben","Sinnott, B",Ben Sinnott,,Ben Sinnott,Sinnott,Ben,,2002-06-14,2002,06,14
4jntkkkqbw,4jntkkkqbw,5081508,28297,00-0041490,22968,HeidEl00,13423,4e49c857-13bf-4156-ab13-706e4088179b,Q136803025,42852,E.Heidenreich,Eli,Eli Heidenreich,"Heidenreich, Eli","Heidenreich, E",Eli Heidenreich,,Eli Heidenreich,Heidenreich,Eli,,2003-07-28,2003,07,28
4memq7tfkw,4memq7tfkw,4035020,19665,00-0036429,18271,WoerCh00,7075,527dfee0-a242-4dc7-830a-ab7028308259,Q91940308,32860,C.Woerner,Charles,Charlie Woerner,"Woerner, Charlie","Woerner, C",Charles Woerner,,Charlie Woerner,Woerner,Charlie,,1997-10-16,1997,10,16
4pq7mxw38m,4pq7mxw38m,4832846,28084,00-0041104,22944,ClaiDe00,13347,b17d816a-b687-488f-ac03-7dcba5aae0b6,Q136132094,42820,D.Claiborne,Demond,Demond Claiborne,"Claiborne, Demond","Claiborne, D",Demond Claiborne,,Demond Claiborne,Claiborne,Demond,,2003-10-09,2003,10,09
4q7g562wbw,4q7g562wbw,4695193,27445,00-0040563,22673,ChisEf00,12542,6704a490-2534-11f0-a084-3df705a62310,Q132435812,42296,E.Chism,Efton,Efton Chism,"Chism, Efton","Chism, E",Efton Chism III,III,Efton Chism III,Chism,Efton,,2001-10-26,2001,10,26
4xyq5hrdyh,4xyq5hrdyh,4573697,26546,00-0039623,21492,TiptMa00,11895,91918b20-0572-11ef-96c1-f73e6ad39631,Q129084698,41188,M.Tipton,Mason,Mason Tipton,"Tipton, Mason","Tipton, M",Mason Tipton,,Mason Tipton,Tipton,Mason,,2000-09-27,2000,09,27
50l008xveh,50l008xveh,4597500,24357,00-0039890,21129,MitcAd00,11625,190dbc97-2b7c-4023-b6b0-5729b854b60b,Q109012827,40915,A.Mitchell,Adonai,Adonai Mitchell,"Mitchell, Adonai","Mitchell, A",Adonai Mitchell,,Adonai Mitchell,Mitchell,Adonai,,2002-10-08,2002,10,08
