id,ids_prism,ids_espn,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay,profile_height,profile_weight,position_abbreviation,position_group,team_abbreviation,team_jerseyNumber,status_code,status_description,profile_rookieYear
8jk11f9c8r,8jk11f9c8r,4038441,00-0034975,17020,HillJu00,5995,528e71ec-8fb3-4928-ace5-fc5ffbf26eb3,Q29913288,31945,J.Hill,Justice,Justice Hill,"Hill, Justice","Hill, J",Justice Hill,,Justice Hill,Hill,Justice,,1997-11-14,1997,11,14,70,205,RB,RB,BAL,43,ACT,Active,2019
8n5bh12jew,8n5bh12jew,4040715,00-0036389,17999,HurtJa00,6904,64bd0f02-6a5d-407e-98f1-fd02048ea21d,Q26923572,32723,J.Hurts,Jalen,Jalen Hurts,"Hurts, Jalen","Hurts, J",Jalen Hurts,,Jalen Hurts,Hurts,Jalen,,1998-08-07,1998,08,07,73,223,QB,QB,PHI,1,ACT,Active,2020
8zzkpfrnzd,8zzkpfrnzd,4429805,00-0039471,21166,GoreFr01,232,6a2b129d-a9e5-4131-b491-82269b323f77,Q109591476,7241,F.Gore,Franklin,Frank Gore,"Gore, Frank","Gore, F",Franklin Gore Jr.,Jr.,Frank Gore Jr.,Gore,Frank,,2002-03-13,2002,03,13,68,201,RB,RB,BUF,20,ACT,Active,2024
904ft2n8m4,904ft2n8m4,11252,00-0026158,7090,FlacJo00,19,64797df2-efd3-4b27-86ee-1d48f7edb09f,Q795406,8795,J.Flacco,Joseph,Joe Flacco,"Flacco, Joe","Flacco, J",Joseph Flacco,,Joe Flacco,Flacco,Joe,,1985-01-16,1985,01,16,78,245,QB,QB,CIN,16,ACT,Active,2008
93ftjq88l0,93ftjq88l0,4567048,00-0038134,19430,WalkKe00,8151,22ee9bac-a64c-4d44-94fc-51d775465b3b,Q108602387,33996,K.Walker,Kenneth,Kenneth Walker,"Walker, Kenneth","Walker, K",Kenneth Walker III,III,Kenneth Walker III,Walker,Kenneth,,2000-10-20,2000,10,20,69,211,RB,RB,KC,9,ACT,Active,2022
960jnwdkx4,960jnwdkx4,4568490,00-0040730,22111,HarvRJ00,12489,fc6dbb83-b2b1-4962-b793-e79b2378b525,Q123514848,41845,R.Harvey,Robert,RJ Harvey,"Harvey, RJ","Harvey, R",Robert Harvey,,RJ Harvey,Harvey,RJ,,2001-02-04,2001,02,04,69,208,RB,RB,DEN,12,ACT,Active,2025
99q644st7m,99q644st7m,4695404,00-0039798,21161,DaviIs00,11571,849789be-b8f0-4d97-a777-2fcf336efa6a,Q120970539,41031,I.Davis,Isaiah,Isaiah Davis,"Davis, Isaiah","Davis, I",Isaiah Davis,,Isaiah Davis,Davis,Isaiah,,2002-02-21,2002,02,21,73,220,RB,RB,NYJ,32,ACT,Active,2024
9m4c4yr5pw,9m4c4yr5pw,4688835,00-0040998,23486,HembRo00,13416,f5d02460-4194-11f1-b42b-111a688b2d6a,Q115492469,42941,R.Hemby,Roman,Roman Hemby,"Hemby, Roman","Hemby, R",Roman Hemby,,Roman Hemby,Hemby,Roman,,2002-08-16,2002,08,16,72,210,RB,RB,LV,37,ACT,Active,2026
9pn2rwl8yr,9pn2rwl8yr,4697815,00-0037256,19436,WhitRa01,8136,4d3f2f57-215c-4cb4-bf75-a7ecdcdded70,Q108761971,34047,R.White,Rachaad,Rachaad White,"White, Rachaad","White, R",Rachaad White,,Rachaad White,White,Rachaad,,1999-01-12,1999,01,12,72,214,RB,RB,WAS,1,ACT,Active,2022
9retnhzt84,9retnhzt84,4361741,00-0037834,19742,PurdBr00,8183,d5aef708-ad61-4ab8-a637-62ff96e92040,Q71605297,34218,B.Purdy,Brock,Brock Purdy,"Purdy, Brock","Purdy, B",Brock Purdy,,Brock Purdy,Purdy,Brock,,1999-12-27,1999,12,27,73,220,QB,QB,SF,13,ACT,Active,2022
