id,ids_prism,ids_espn,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_last,names_first,names_middle
3f6l75ecsw,3f6l75ecsw,4685247,00-0039794,21132,AlleBr05,11576,d7f72deb-c1e2-47a2-b651-887f0e33dc44,Q109570622,40981,Allen,Braelon,
3g970qfk90,3g970qfk90,4430737,00-0037840,19450,WillKy02,8150,19d44771-8f1d-4127-9b7d-230da137f15d,Q100408299,34120,Williams,Kyren,
3hdwjgyf6r,3hdwjgyf6r,3123075,00-0034419,16137,BerrBr00,5121,18f0bd30-1432-4fae-9cb4-c212bad6d0bb,Q41760277,31180,Berrios,Braxton,
3lcg8zg194,3lcg8zg194,4360569,00-0037525,19872,MasoJo00,8408,af9f7390-ca80-11ec-97ae-e1573849d1a6,Q113869071,34320,Mason,Jordan,
3qv3f5jeqh,3qv3f5jeqh,4429835,00-0039299,21709,HolaGe00,12048,971a3930-0724-11ef-a47d-6f7fe8c7bc97,Q124788532,41344,Holani,George,
3v02hez7pr,3v02hez7pr,4371733,00-0036919,18772,GainKe00,7567,e2a5882a-dcc1-4800-889f-3b957b21834f,Q88089345,33538,Gainwell,Kenny,
45tellv7x8,45tellv7x8,4869132,00-0041070,23111,VirgRe00,13297,5c342ca7-20ec-4278-8d30-f8134d5a0fd3,Q136813968,42791,Virgil,Reggie,
4712ckx40r,4712ckx40r,4688380,00-0040676,20310,WardCa00,12522,3c76cab3-3df2-43dd-acaa-57e055bd32d0,Q110263644,41786,Ward,Cam,
4cetc28rd0,4cetc28rd0,4429501,00-0039875,21151,DaviRa04,11575,a856dd59-ed95-471a-bfb9-fbd0566bd1a9,Q123050591,40980,Davis,Ray,
4dlr3qt49h,4dlr3qt49h,4569587,00-0038117,19460,RobiWa01,8126,582dfe0e-98f3-48a5-8a2d-a52baa926b05,Q108855775,33998,Robinson,Wan'Dale,
4ehg89cwmd,4ehg89cwmd,5150247,00-0040894,23172,BensMa00,13329,27e1ef17-ce10-4e14-99e6-328672f57dcd,Q118570936,42817,Benson,Malik,
4fsbd09q6r,4fsbd09q6r,4239934,00-0036265,17996,DillAJ00,6828,e10bfeb8-ea01-47bc-bfa8-45f6dcbf71b3,Q54861465,32732,Dillon,AJ,
4jntkkkqbw,4jntkkkqbw,5081508,00-0041490,22968,HeidEl00,13423,4e49c857-13bf-4156-ab13-706e4088179b,Q136803025,42852,Heidenreich,Eli,
4pq7mxw38m,4pq7mxw38m,4832846,00-0041104,22944,ClaiDe00,13347,b17d816a-b687-488f-ac03-7dcba5aae0b6,Q136132094,42820,Claiborne,Demond,
4q7g562wbw,4q7g562wbw,4695193,00-0040563,22673,ChisEf00,12542,6704a490-2534-11f0-a084-3df705a62310,Q132435812,42296,Chism,Efton,
4xyq5hrdyh,4xyq5hrdyh,4573697,00-0039623,21492,TiptMa00,11895,91918b20-0572-11ef-96c1-f73e6ad39631,Q129084698,41188,Tipton,Mason,
50l008xveh,50l008xveh,4597500,00-0039890,21129,MitcAd00,11625,190dbc97-2b7c-4023-b6b0-5729b854b60b,Q109012827,40915,Mitchell,Adonai,
50mvqb2dpr,50mvqb2dpr,4685350,00-0040644,22094,EtieTr01,12531,39e2d13c-0fb7-465f-ad8b-0b4bb73e1124,Q115492523,41913,Etienne,Trevor,
52jvllxxym,52jvllxxym,4241416,00-0036555,18773,HubbCh01,7594,32205e74-b23f-420a-b312-465b29260745,Q67691583,33514,Hubbard,Chuba,
59bexk7918,59bexk7918,4569382,00-0039751,21389,WhitJo04,11623,7cc58a3b-157a-4f43-a7de-5bc403f9ce6b,Q123365074,41083,Whittington,Jordan,
5ec9q5q0l4,5ec9q5q0l4,4428557,00-0039032,20329,SpeaTy00,9508,af71f149-7758-40b7-973a-9fe6320cf4f5,Q115542257,40119,Spears,Tyjae,
5epyecgxrd,5epyecgxrd,4383429,00-0038896,20790,SaylJa00,11237,99a7f770-ea18-11ed-a93b-a93886fe0bfd,Q134625884,40474,Saylors,Jacob,
5esy3jmwmw,5esy3jmwmw,4685397,00-0040177,22097,JameJo01,12467,c16040c3-7534-4eeb-956c-8ed3be9972ec,Q123474548,41933,James,Jordan,
5g7x9x0yc8,5g7x9x0yc8,4360797,00-0036849,18802,AtweTu00,7562,7dc49535-f9dd-44b0-94f2-08ac6470130b,Q88587309,33445,Atwell,Tutu,
5gndzvppcw,5gndzvppcw,3054850,00-0033906,15293,KamaAl00,4035,d9c857b2-97da-4fb8-a527-afbbb2a67413,Q27443318,30180,Kamara,Alvin,
5lw5jh72zm,5lw5jh72zm,4360405,00-0038752,20780,BoboJa00,10867,7d80dd50-e9f5-11ed-9c34-3f26f2e7ed88,Q115492181,40452,Bobo,Jake,
5m30sny944,5m30sny944,4708486,00-0040218,22291,HornJi00,12523,f15872a6-7bc1-41e4-a2cd-0a2fbc432bf7,Q122308579,41999,Horn,Jimmy,
5tet5q2r7r,5tet5q2r7r,3043116,00-0032775,14714,RobiDe01,3286,46b16198-116f-4913-85db-2bc21462bd66,Q24060917,29360,Robinson,Demarcus,
5tve79zpr4,5tve79zpr4,4428850,00-0038393,20314,WickDo00,9486,ea3d1393-8c3b-4e81-a519-f636d28d692e,Q113200524,40201,Wicks,Dontayvion,
5w0mqcyf6h,5w0mqcyf6h,4360761,00-0038559,20340,WilsMi02,10232,b91be982-fccd-448e-869b-e9b5148a1730,Q116814598,40121,Wilson,Michael,
5zx9ed5txr,5zx9ed5txr,3128429,00-0034348,16066,SuttCo00,5045,b55ae5ba-593f-4560-9cab-14e10698e01d,Q29723427,31010,Sutton,Courtland,
622x93nkfh,622x93nkfh,16800,00-0031381,12729,AdamDa01,2133,e7d6ae25-bf15-4660-8b37-c37716551de3,Q16149402,27581,Adams,Davante,
63j61sn3rr,63j61sn3rr,4374302,00-0036963,18827,StxxAm00,7547,26ef0447-29b8-4dd1-9831-dcbf8132bb74,Q56651156,33500,St. Brown,Amon-Ra,
63vpp7ln4w,63vpp7ln4w,4600981,00-0040134,22115,BryaPa00,12492,2858209e-4aa7-4539-9901-99a4d881229c,Q130667760,41860,Bryant,Pat,
64tx6y8grm,64tx6y8grm,4047650,00-0035640,17002,MetcDK00,5846,754faf0f-40f7-45f0-b23b-6ce990ecaf26,Q53038696,31896,Metcalf,DK,
65b1l2hcxm,65b1l2hcxm,3929630,00-0034844,16062,BarkSa00,4866,9811b753-347c-467a-b3cb-85937e71e2b9,Q21620839,30972,Barkley,Saquon,
6bryx880n4,6bryx880n4,4710855,00-0040590,22334,MumpKo00,12718,ccb6d700-ac74-4f6b-9f86-d1aa74d0c318,Q131581951,42035,Mumpfield,Konata,
6cc6ssgsnh,6cc6ssgsnh,4605951,00-0041399,22950,DaniCJ00,13270,d9f1a46d-555a-45b6-90cf-245fc29709c3,Q135537968,42819,Daniels,CJ,
6f64nssxv0,6f64nssxv0,4429615,00-0039064,20288,FlowZa00,9997,2b6d74b7-10fb-4f17-99c8-9bb557fb475b,Q108525388,40039,Flowers,Zay,
6grvb5b0ed,6grvb5b0ed,4036378,00-0036264,17997,LoveJo03,6804,e5094779-e94f-4052-8597-bdbee3719f6b,Q60736806,32696,Love,Jordan,
6pxwycv8c0,6pxwycv8c0,4432374,00-0040260,22439,MarsAh00,12797,c18cabc0-2321-11f0-80a0-bb24566134d1,Q136652161,42092,Marshall,Ahmani,
6qg874mdqw,6qg874mdqw,4696044,00-0041052,23064,BlacKa00,13414,4dea3ae1-8c53-4ef1-bd72-e2d2dfb3fa97,Q137391681,42712,Black,Kaelon,
6sc0cvtkf0,6sc0cvtkf0,2576336,00-0032104,13582,AbduAm00,2359,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,Q16148577,28442,Abdullah,Ameer,
6tv3yhdn9w,6tv3yhdn9w,4248528,00-0038124,19445,WatsCh00,8167,47d97f44-b4aa-46d2-816c-5b5a1fe48d46,Q110903857,33989,Watson,Christian,
74bqdcnx5m,74bqdcnx5m,4245645,00-0036569,19149,BrigGa00,7529,94bde2c7-7229-4bf0-a545-5950cf3c7927,Q106677291,33584,Brightwell,Gary,
7brhwek8qm,7brhwek8qm,4249417,00-0037666,19453,TolbJa00,8117,c6fb9f3a-f8ff-4224-a5f6-4d2d09501c9c,Q108677281,34044,Tolbert,Jalen,
7dx90qs7k4,7dx90qs7k4,4429795,00-0039139,20272,GibbJa01,9221,fef9457e-6497-47de-9bf2-cc3b95929375,Q100193610,40059,Gibbs,Jahmyr,
7flf6622yr,7flf6622yr,4369863,00-0038979,20290,TillCe01,10444,148330d9-5182-4b58-b695-8067aaba4731,Q110486805,40093,Tillman,Cedric,
7hfg99gzc4,7hfg99gzc4,4259545,00-0036275,17961,SwifDA00,6790,cc4b5f58-a11c-4450-a1df-617ad88336e4,Q52693227,32705,Swift,D'Andre,
7j4pbqk9b8,7j4pbqk9b8,4723820,00-0041511,22948,CoopOm00,13276,72594204-b4a9-4f08-907d-029d8a425ddb,Q136432693,42652,Cooper,Omar,
7r1ncnznm4,7r1ncnznm4,4429205,00-0038994,20274,AddiJo00,9756,63fdd64e-1a23-4b77-9536-b1609f3a708c,Q108776267,40042,Addison,Jordan,
7yjh9c2f3w,7yjh9c2f3w,4613104,00-0039920,21142,CorlMa00,11617,bae59933-8b94-4837-990e-f0a4ced3cdbb,Q120922131,40944,Corley,Malachi,
7zkt6hbyy0,7zkt6hbyy0,4428718,00-0038563,20357,TuckTr00,10213,9beb72c5-5a81-413c-ada3-ff4854c95cf4,Q116200615,40114,Tucker,Tre,
810rd58m54,810rd58m54,4596448,00-0039361,21136,IrviBu00,11584,c5249c6f-bd1b-4352-8228-de2bd499ca0d,Q114818783,40993,Irving,Bucky,
88ylnsywrh,88ylnsywrh,4036032,00-0037329,19710,BrowBr06,8423,387c8819-5892-4528-ac33-0ec72b24cc2f,Q111787485,34206,Brown,Brittain,
